SYMBOL,linkedin,name
FNX.MI,,FENIX ENTERTAINMENT
NTW.MI,,NETWEEK
ICC.MI,,INTERNATIONAL CARE COMPANY
ENT.MI,,ENERTRONICA SANTERNO
FCM.MI,,FRIULCHEM
GEQ.MI,,GEQUITY
SOS.MI,,SOSTRAVEL.COM
MED.MI,,
PSA.MI,,PORTALE SARDEGNA
CIA.MI,,
GO.MI,,GO INTERNET
CFM.MI,,CROWDFUNDME
TLS.MI,,TELESIA
EPR.MI,,EPRICE
GAMB.MI,,GAMBERO ROSSO
JNX.MI,,JONIX
U24.MI,,
MSU.MI,,MONDO TV SUISSE
MET.MI,,MET.EXTRA GROUP
YSFT.MI,,SOFTEC
AMB.MI,,AMBROMOBILIARE
RKT.MI,,
IIG.MI,,ITALIA INDEPENDENT
FHR.MI,,
FCH.MI,,
PRM.MI,,PRISMI
MTF.MI,,MONDO TV FRANCE
BIE.MI,,BIOERA
CASA.MI,,CASASOLD
YIV.MI,,IMVEST
KI.MI,,KI GROUP
TLSG.MI,,
NOKIA.MI,,NOKIA CORPORATION
ADS.MI,,ADIDAS
AMD.MI,,ADVANCED MICRO DEVICES
AGN.MI,,AEGON
AGS.MI,,AGEAS
AH.MI,,
AIR.MI,,AIRBUS
AF.MI,,
ALV.MI,,ALLIANZ
GOOGL.MI,,ALPHABET CLASSE A
GOOG.MI,,ALPHABET CLASSE C
AMZN.MI,,AMAZON
AMGN.MI,,
AAPL.MI,,APPLE
ASML.MI,,ASML
AXA.MI,,AXA
BBVA.MI,,BBVA
BSC.MI,,
BASF.MI,,BASF
BAY.MI,,BAYER
BB.MI,,BB BIOTECH
BEI.MI,,BEIERSDORF
BMW.MI,,BMW
BNP.MI,,BNP PARIBAS
CNHI.MI,,CNH INDUSTRIAL
CBK.MI,,COMMERZBANK
CON.MI,,CONTINENTAL
ACA.MI,,CREDIT AGRICOLE
DANR.MI,,DANIELI & C RISP NC
DBK.MI,,DEUTSCHE BANK
DB1.MI,,DEUTSCHE BOERSE
LHA.MI,,DEUTSCHE LUFTHANSA
DPW.MI,,DEUTSCHE POST
DTE.MI,,DEUTSCHE TELEKOM
EOAN.MI,e-on,E.ON
EDNR.MI,edison-spa,EDISON R
ENGI.MI,engie,ENGIE
ERG.MI,,ERG
EL.MI,,ESSILORLUXOTTICA
EO.MI,,FAURECIA
RACE.MI,ferrari,FERRARI
FRE.MI,,FRESENIUS
FME.MI,,FRESENIUS MEDICAL CARE
GILD.MI,,GILEAD SCIENCES
HEI.MI,,HEIDELBERG CEMENT
HEN3.MI,,HENKEL VZ
IBE.MI,,
ITX.MI,,
IFX.MI,,INFINEON TECHNOLOGIES
INGA.MI,,
INTC.MI,,INTEL
KER.MI,,KERING
KMER.MI,,
LVMH.MI,,LVMH
MBG.MI,,
MRK.MI,,MERCK
MVRS.MI,,
MFEA.MI,,MFE A
MU.MI,,MICRON TECHNOLOGY
MSFT.MI,,MICROSOFT CORP
MUV2.MI,,MUNICH RE
NFLX.MI,,NETFLIX
NVDA.MI,,
ORA.MI,,ORANGE
PHIA.MI,,PHILIPS
RNO.MI,,RENAULT
REP.MI,,
RWE.MI,,
SANF.MI,,SANOFI
SAP.MI,,SAP
SIE.MI,,SIEMENS
ENR.MI,,SIEMENS ENERGY
GLE.MI,,SOCIETE GENERALE
SBUX.MI,,STARBUCKS CORP
STM.MI,,STMICROELECTRONICS
TPRO.MI,,TECHNOPROBE
TITR.MI,tim,TELECOM ITALIA R
TEF.MI,,TELEFONICA
TSLA.MI,,TESLA
TKA.MI,,THYSSENKRUPP
TRIP.MI,,TRIPADVISOR
VIV.MI,,VIVENDI
VOW3.MI,,VOLKSWAGEN
VNA.MI,,VONOVIA
