Nome,Codice ISIN,symbols
CIVITANAVI SYSTEMS,IT0005466153,CNS.MI
CLABO,IT0005091324,CLABO.MI
CLASS EDITORI,IT0005117848,CLE.MI
CLEANBNB,IT0005377277,CBB.MI
CLOUDIA RESEARCH,IT0005577090,AGAIN.MI
COFLE,IT0005465619,CFL.MI
COMAL,IT0005428971,CML.MI
COMER INDUSTRIES,IT0005246191,COM.MI
COMPAGNIA DEI CARAIBI,IT0005453235,TIME.MI
CONAFI,IT0004105653,CNF.MI
CONFINVEST,IT0005379604,CFV.MI
CONVERGENZE,IT0005426215,CVG.MI
COPERNICO,IT0005379406,COP.MI
CREACTIVES GROUP,IT0005408593,CREG.MI
CREDEM,IT0003121677,CE.MI
CROWDFUNDME,IT0005353575,CFM.MI
CSP INT IND CALZE,IT0001127874,CSP.MI
CUBE LABS,IT0005532483,CUBE.MI
CULTI MILANO,IT0005257347,CULT.MI
CY4GATE,IT0005412504,CY4.MI
CYBEROO,IT0005546103,CYB.MI
DANIELI C,IT0000076502,DAN.MI
DANIELI C RISP NC,IT0000076486,DANR.MI
DATALOGIC,IT0004053440,DAL.MI
DATRIX,IT0005468357,DATA.MI
DBA GROUP,IT0005285942,DBA.MI
DE'LONGHI,IT0003115950,DLG.MI
DEFENCE TECH HOLDING,IT0005461329,DTH.MI
DEODATO.GALLERY,IT0005528937,ART.MI
DESTINATION ITALIA,IT0005454027,DIT.MI
DEXELANCE,IT0005543480,DEX.MI
DHH,IT0005203622,DHH.MI
DIASORIN,IT0003492391,DIA.MI
DIGITAL BROS,IT0001469995,DIB.MI
DIGITAL VALUE,IT0005347429,DGV.MI
DIGITOUCH,IT0005089476,DGT.MI
DIRECTA SIM,IT0001463063,D.MI
DISTRIBUZIONE ELETTRICA ADRIATICA,IT0005600249,DEA.MI
DOTSTAY,IT0005523839,DOT.MI
DOVALUE,IT0001044996,DOV.MI
DOXEE,IT0005394413,DOX.MI
E-GLOBE,IT0005557514,EGB.MI
E-NOVIA,IT0005391229,E9IA.MI
E.P.H.,IT0005596330,EPH.MI
ECOMEMBRANE,IT0005543332,ECMB.MI
ECOSUNTEK,IT0005001943,ECK.MI
EDIL SAN FELICE,IT0005561441,ESF.MI
EDILIZIACROBATICA,IT0005351504,EDAC.MI
EDISON R,IT0003372205,EDNR.MI
EEMS,IT0005577868,EEMS.MI
EGOMNIA,IT0005586497,EGN.MI
EL.EN.,IT0005453250,ELN.MI
ELES,IT0005373417,ELES.MI
ELICA,IT0003404214,ELC.MI
ELIGO,IT0005524423,ELG.MI
ELSA SOLUTIONS,IT0005561466,ELSA.MI
EMAK,IT0001237053,EM.MI
EMMA VILLAS,IT0005562183,EAV.MI
ENAV,IT0005176406,ENAV.MI
ENEL,IT0003128367,ENEL.MI
ENERGY,IT0005500712,ENY.MI
ENERTRONICA SANTERNO,IT0004887409,ENT.MI
ENERVIT,IT0004356751,ENV.MI
ENI,IT0003132476,ENI.MI
EPRCOMUNICAZIONE,IT0005519837,EPRB.MI
EQUITA GROUP,IT0005312027,EQUI.MI
ERG,IT0001157020,ERG.MI
ERREDUE,IT0005521247,RDUE.MI
ESAUTOMOTION,IT0005337107,ESAU.MI
ESI,IT0005421885,ESIGM.MI
ESPE,IT0005573818,ESPE.MI
ESPRINET,IT0003850929,PRT.MI
ESTRIMA,IT0005468191,BIRO.MI
EUKEDOS,IT0004818297,EUK.MI
EUROGROUP LAMINATIONS,IT0005527616,EGLA.MI
EUROTECH,IT0003895668,ETH.MI
EVISO,IT0005430936,EVISO.MI
EXECUS,IT0005557530,EXEC.MI
EXPERT.AI,IT0004496029,EXAI.MI
FAE TECHNOLOGY,IT0005500688,FAE.MI
FARMACOSMO,IT0005487670,COSMO.MI
FENIX ENTERTAINMENT,IT0005403495,FNX.MI
FERRETTI,IT0005383291,YACHT.MI
FERVI,IT0005325912,FVI.MI
FIDIA,IT0001498481,FDA.MI
FIERA MILANO,IT0003365613,FM.MI
FILA,IT0004967292,FILA.MI
FINANZA.TECH,IT0005475162,FTC.MI
FINCANTIERI,IT0005599938,FCT.MI
FINE FOODS PHARMACEUTICALS NTM,IT0005215329,FF.MI
FINECOBANK,IT0000072170,FBK.MI
FIRST CAPITAL,IT0005252736,FIC.MI
FNM,IT0000060886,FNM.MI
FOPE,IT0005203424,FPE.MI
FOS,IT0005388217,FOS.MI
FRANCHETTI,IT0005508574,FCH.MI
FRANCHI UMBERTO MARMI,IT0005335754,FUM.MI
FRENDY ENERGY,IT0004819857,FRE.MI
FRIULCHEM,IT0005378457,FCM.MI
G RENT,IT0005445108,GSR.MI
G.M. LEATHER,IT0005498610,GML.MI
GABETTI,IT0005023038,GAB.MI
GAMBERO ROSSO,IT0005122392,GAMB.MI
GAROFALO HEALTH CARE,IT0005345233,GHC.MI
GAS PLUS,IT0004098510,GSP.MI
GEFRAN,IT0003203947,GE.MI
GEL,IT0005312365,GEL.MI
GENERALFINANCE,IT0005144784,GF.MI
GENERALI,IT0000062072,G.MI
GENTILI MOSCONI,IT0005531261,GM.MI
GEOX,IT0003697080,GEO.MI
GIBUS,IT0005341059,GBUS.MI
GIGLIO GROUP,IT0005122400,GG.MI
GIGLIO.COM,IT0005453003,GCOM.MI
GISMONDI 1754,IT0005391138,GIS.MI
GO INTERNET,IT0005582033,GO.MI
GPI,IT0005221517,GPI.MI
GREEN OLEO,IT0005549768,GRN.MI
GREENTHESIS,IT0001042297,GTH.MI
GRIFAL,IT0005332595,GRAL.MI
GROWENS,IT0005040354,GROW.MI
GVS,IT0005411209,GVS.MI
H-FARM,IT0004674666,FARM.MI
HEALTH ITALIA,IT0005585861,HI.MI
HERA,IT0001250932,HER.MI
HIGH QUALITY FOOD,IT0005450694,HQF.MI
HOMIZY,IT0005468662,HZY.MI
I GRANDI VIAGGI,IT0005108219,IGV.MI
I.M.D. INTERNATIONAL MEDICAL DEVICES,IT0005549255,IMD.MI
IERVOLINO LADY BACARDI ENTERTAINMENT,IT0005380602,IE.MI
IGD,IT0005322612,IGD.MI
IIG,IT0004937469,IIG.MI
IL SOLE 24 ORE,IT0005283111,S24.MI
ILLA,IT0005578395,ILLA.MI
ILLIMITY BANK,IT0005359192,ILTY.MI
ILPRA,IT0005359101,ILP.MI
IMMSI,IT0001413837,IMS.MI
IMPIANTI,IT0005518953,MPT.MI
INDEL B,IT0005245508,INDB.MI
INDUSTRIE CHIMICHE FORESTALI,IT0005416281,ICF.MI
INDUSTRIE DE NORA,IT0005186371,DNR.MI
INIZIATIVE BRESCIANE,IT0005037905,IB.MI
INNOVATEC,IT0005412298,INC.MI
